Date,Station I (Central West Bay),Station II (East Bay),Station IV (Central Bay) ,Station V (Northern West Bay),Station VIII (South Bay) ,Station XV (San Pedro),Station XVI (Sta. Rosa),Station XVII (Sanctuary),Station XVIII (Pagsanjan) ,,mean
Jan-16,7.5,7.2,7.2,9.1,6.8,8.7,8.4,7.7,7.6,,7.8
Feb-16,8.9,7.9,7.8,7.5,7.5,7.8,8.3,8.0,8.3,,8.0
Mar-16,7.6,8.4,8.3,7.6,8.0,7.6,8.1,7.9,8.5,,8.0
Apr-16,8.6,8.3,8.6,7.5,8.3,8.6,8.1,8.3,8.5,,8.3
May-16,6.4,8.4,6.8,7.1,7.9,6.9,7.7,7.5,10.0,,7.6
Jun-16,14.4,8.3,9.5,9.5,8.9,7.6,7.7,8.9,9.1,,9.3
Jul-16,7.3,9.7,15.9,6.3,8.1,4.0,7.5,7.8,9.4,,8.4
Aug-16,5.5,6.8,7.3,6.6,7.6,6.5,7.4,7.3,6.7,,6.9
Sep-16,7.3,9.0,13.5,7.8,8.8,8.7,10.2,12.1,9.4,,9.6
Oct-16,7.3,10.0,8.9,6.3,8.5,5.9,5.8,7.6,9.3,,7.7
Nov-16,7.8,7.2,7.4,7.5,8.1,6.8,9.8,7.9,6.6,,7.7
Dec-16,6.5,7.6,7.7,6.8,7.2,9.6,8.5,7.7,7.6,,7.7
Jan-17,7.9,7.7,8.1,8.5,7.6,8.2,7.7,9.6,7.7,,8.1
Feb-17,7.6,7.6,7.3,9.0,7.8,8.8,7.8,7.7,7.8,,7.9
Mar-17,8.9,9.4,8.4,9.0,9.1,9.1,9.6,8.5,9.4,,9.0
Apr-17,6.3,7.2,6.9,6.3,7.1,6.9,6.9,7.0,7.4,,6.9
May-17,7.3,7.7,8.4,5.5,7.5,7.9,7.0,7.6,8.4,,7.5
Jun-17,8.7,7.1,8.1,9.7,8.6,8.7,9.0,10.2,8.6,,8.7
Jul-17,8.7,6.9,9.0,8.6,8.1,7.4,8.0,8.1,9.3,,8.2
Aug-17,8.4,9.6,13.1,11.0,11.6,9.6,9.4,14.1,9.9,,10.7
Sep-17,7.3,9.5,17.2,7.7,10.3,10.4,10.9,8.7,9.7,,10.2
Oct-17,6.9,8.4,7.6,9.3,10.8,5.6,7.8,7.8,8.5,,8.1
Nov-17,6.6,8.6,6.5,5.9,7.8,6.2,7.5,7.4,8.8,,7.3
Dec-17,6.6,8.6,6.5,5.9,7.8,6.2,7.5,7.4,8.8,,7.3
Jan-18,7.8,8.1,8.1,7.4,7.6,8.6,8.6,8.4,8.4,,8.1
Feb-18,8.3,8.5,8.3,8.7,7.7,9.7,9.7,9.2,8.4,,8.7
Mar-18,8.6,8.4,8.1,9.5,8.2,8.2,8.7,8.2,8.6,,8.5
Apr-18,7.7,8.1,8.0,6.8,7.9,8.4,8.6,7.9,8.3,,8.0
May-18,8.6,7.5,7.0,10.6,8.3,8.3,8.4,7.2,7.9,,8.2
Jun-18,7.6,15.8,8.3,10.0,9.3,8.2,8.2,8.6,16.1,,10.2
Jul-18,9.0,8.3,9.0,7.8,8.1,7.9,8.1,8.0,9.5,,8.4
Aug-18,5.6,6.8,8.5,8.2,6.4,7.6,8.2,7.8,8.8,,7.5
Sep-18,10.5,9.5,8.8,8.5,9.9,10.6,10.7,8.6,9.1,,9.6
Oct-18,7.1,7.6,6.6,6.9,8.4,8.2,8.4,7.5,8.3,,7.7
Nov-18,6.9,7.3,7.2,10.0,6.3,6.8,7.2,6.7,7.6,,7.3
Dec-18,8.1,7.7,8.1,8.0,6.9,8.7,8.4,8.4,8.6,,8.1
Jan-19,8.9,7.7,7.9,9.0,7.4,8.5,7.6,8.2,7.8,,8.1
Feb-19,8.0,7.9,7.5,6.6,8.2,8.3,8.3,8.3,7.9,,7.9
Mar-19,6.9,8.1,8.0,7.3,7.5,8.7,7.7,8.9,8.4,,7.9
Apr-19,7.8,7.5,7.3,7.3,7.4,8.2,7.6,7.3,7.8,,7.6
May-19,10.1,5.9,6.6,8.8,6.2,4.5,7.4,6.6,7.3,,7.0
Jun-19,10.4,7.2,10.6,7.8,8.8,11.3,9.8,8.1,12.1,,9.6
Jul-19,5.7,8.9,7.1,7.5,7.2,7.3,8.1,7.0,10.7,,7.7
Aug-19,6.5,7.8,7.3,7.1,7.4,6.6,7.1,7.7,8.1,,7.3
Sep-19,6.5,6.8,6.4,7.6,8.0,6.5,8.4,7.4,7.7,,7.3
Oct-19,6.6,7.5,7.9,7.6,7.0,6.7,7.7,7.9,7.5,,7.4
Nov-19,7.1,8.6,8.8,12.8,8.0,6.6,10.0,8.4,9.2,,8.8
Dec-19,6.9,6.9,6.9,7.3,7.2,6.9,7.2,7.3,7.5,,7.1
Jan-20,7.1,7.6,7.5,7.5,7.6,7.9,8.3,7.1,7.4,,7.6
Feb-20,7.3,7.7,7.0,8.1,8.3,7.6,8.0,7.7,7.8,,7.7
Mar-20,7.7,8.2,7.7,7.5,8.2,8.2,8.6,7.8,8.2,,8.0
Apr-20,8.0,8.0,7.4,8.2,8.4,8.2,8.5,8.2,8.0,,8.1
May-20,8.2,7.7,7.0,8.9,8.6,8.2,8.5,8.5,7.8,,8.2
Jun-20,8.5,7.5,6.7,9.7,8.8,8.3,8.4,8.9,7.6,,8.2
Jul-20,8.8,7.3,6.3,10.4,8.9,8.3,8.3,9.2,7.3,,8.3
Aug-20,9.0,7.0,6.0,11.1,9.1,8.3,8.3,9.6,7.1,,8.4
Sep-20,9.3,6.8,5.6,11.8,9.3,8.3,8.2,9.9,6.9,,8.5
Oct-20,7.3,7.0,7.8,7.6,7.3,7.2,7.3,6.8,7.5,,7.3
Nov-20,6.8,7.2,8.3,7.8,6.5,6.4,7.2,6.7,7.9,,7.2
Dec-20,7.1,7.9,8.3,7.7,8.7,8.9,7.3,8.3,7.3,,7.9
Jan-21,7.8,8.6,7.5,7.4,8.0,7.9,7.9,7.9,8.5,,7.9
Feb-21,8.3,8.1,8.0,7.2,8.4,8.5,8.1,7.7,8.4,,8.1
Mar-21,8.4,8.3,7.2,7.9,8.3,8.2,9.6,8.1,8.2,,8.2
Apr-21,7.8,7.8,7.1,7.6,8.0,7.6,8.4,7.9,8.0,,7.8
May-21,7.1,7.3,7.0,7.2,7.7,7.0,7.1,7.6,7.8,,7.3
Jun-21,7.7,9.9,10.2,11.9,8.1,10.3,9.6,8.3,7.7,,9.3
Jul-21,8.1,7.9,7.1,8.1,7.8,7.8,7.1,8.5,8.1,,7.8
Aug-21,7.0,7.2,7.2,7.8,7.4,7.9,7.2,,8.0,,7.5
Sep-21,6.8,7.6,7.9,9.3,8.0,5.4,6.9,9.1,7.9,,7.7
Oct-21,7.4,7.8,7.3,7.6,7.6,6.4,6.9,7.7,7.0,,7.3
Nov-21,6.8,7.7,7.2,6.9,7.5,7.3,7.3,7.2,7.7,,7.3
Dec-21,7.4,7.5,7.4,7.0,7.9,7.5,7.6,7.3,7.7,,7.5
Jan-22,7.5,7.5,7.4,7.5,7.8,7.6,7.7,7.5,7.6,,7.5
Feb-22,7.5,7.5,7.4,8.0,7.7,7.6,7.8,7.6,7.4,,7.6
Mar-22,6.8,7.6,7.0,7.6,7.6,7.2,7.3,7.3,7.6,,7.3
Apr-22,7.3,7.6,7.3,8.1,7.7,7.4,7.6,7.2,8.1,,7.6
May-22,6.8,7.3,7.8,7.2,7.5,6.8,6.6,7.9,8.2,,7.3
Jun-22,7.0,8.4,8.6,9.0,7.9,7.8,7.2,9.6,8.7,,8.2
Jul-22,8.8,10.4,10.6,8.0,7.6,9.0,7.6,9.5,10.6,,9.1
Aug-22,5.6,6.4,11.0,8.3,8.1,5.4,7.8,8.2,8.6,,7.7
Sep-22,7.1,8.2,6.9,10.1,9.1,7.6,7.7,9.2,9.4,,8.4
Oct-22,5.8,6.8,6.3,6.4,7.4,6.2,6.8,6.6,7.9,,6.7
Nov-22,6.5,6.9,6.8,8.1,7.8,5.7,7.2,8.1,7.2,,7.1
Dec-22,6.9,7.0,7.3,7.2,7.1,7.1,6.6,7.2,7.8,,7.1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
